"Moip Interest Amount","Juros de Pacelamento (Moip)"
"O digito verificador da conta bancária deve ser numérico.","O digito verificador da conta bancária deve ser numérico."
"É necessario informar os dados do portador da conta bancária.","É necessario informar os dados do portador da conta bancária."
"Informe o nome completo do titular da conta bancária.","Informe o nome completo do titular da conta bancária."
"É necessario informar o documento do portador da conta bancária.","É necessario informar o documento do portador da conta bancária."
"Informe o tipo do documento.","Informe o tipo do documento."
"O tipo de documento informado é inválido.","O tipo de documento informado é inválido."
"O número do documento deve ser informado.","O número do documento deve ser informado."
"O número do documento possui caracteres inválidos. Apenas caracteres numéricos são aceitos.","O número do documento possui caracteres inválidos. Apenas caracteres numéricos são aceitos."
"Prazo limite de reembolso em cartão de crédito excedido, tente realizar o reembolso em uma conta bancária.","Prazo limite de reembolso em cartão de crédito excedido, tente realizar o reembolso em uma conta bancária."
"Cliente não possui conta Moip, tente realizar o reembolso em uma conta bancária.","Cliente não possui conta Moip, tente realizar o reembolso em uma conta bancária."
"Reembolso só pode ser realizado para conta bancária do mesmo titular do pagamento.","Reembolso só pode ser realizado para conta bancária do mesmo titular do pagamento."
"Pagamento só pode ser reembolsado no cartão de crédito no período inferior a 180 dias após autorização pagamento.","Pagamento só pode ser reembolsado no cartão de crédito no período inferior a 180 dias após autorização pagamento."
"Um dos recebedores do pagamento não possui saldo suficiente para o reembolso.","Um dos recebedores do pagamento não possui saldo suficiente para o reembolso."
"Uma das contas informadas não é recebedora do pagamento.","Uma das contas informadas não é recebedora do pagamento."
"O recebedor primário não pode assumir o reembolso do recebedor secundário.","O recebedor primário não pode assumir o reembolso do recebedor secundário."
"O recebedor secundário não pode reembolsar um valor maior do que o recebido no pagamento.","O recebedor secundário não pode reembolsar um valor maior do que o recebido no pagamento."
"A conta a ser creditada é um dos recebedores do pagamento. Por favor escolha outra forma de reembolso.","A conta a ser creditada é um dos recebedores do pagamento. Por favor escolha outra forma de reembolso."
"O reembolso mPOS pode ser usado se e somente se o pagamento for feito via mPOS.","O reembolso mPOS pode ser usado se e somente se o pagamento for feito via mPOS."
"Para reembolso mPOS só é possível reembolso completo.","Para reembolso mPOS só é possível reembolso completo."
"Conta Moip não encontrada.","Conta Moip não encontrada."
"Esse pedido contém transações com formas de pagamento distintas. É necessário fazer os reembolsos individualmente nos pagamentos.","Esse pedido contém transações com formas de pagamento distintas. É necessário fazer os reembolsos individualmente nos pagamentos."
"Interest Amount","Valor do juros de parcelamento"
"Get Payment Update - Moip","Consultar atualização de pagamento - Moip"
"Get Payment Update","Consultar atualização de pagamento"
"Consultar status dos pedidos no Moip?","Consultar status dos pedidos no Moip?"
"Payment Moip Interest","Juros de parcelamento (Moip)"
"method_name","Método"
"device","Device"
"boleto_line_code","Linha digitável"
"boleto_print_href","Link do Boleto"
"cc_installments","Parcelamento"
"cc_installment_interest","Juros de Parcelamento"
"cc_type","Bandeira"
"cc_number","Número"
"cc_holder_fullname","Nome impresso"
"checkout_url","Link para Finalização"
"checkout_cc","Link para Finalização por Cartão de Crédito"
"checkout_boleto","Link para Finalização por Boleto"
"cc_holder_birth_date","Data de nascimento do Titular do Cartão de Crédito"
"cc_holder_tax_document","CPF/CNPJ do Titular do Cartão de Crédito"
"cc_holder_phone","Telefone do Titular do Cartão de Crédito"
"boleto_payer_fullname","Nome do pagador"
"boleto_payer_tax_document","CPF/CNPJ do pagador"
"checkout_payer_fullname","Nome do pagador"
"checkout_payer_tax_document","CPF/CNPJ do pagador"
